claim_id,value,evidence_artifact,selector,source_run_ids
controlled_complete_robust_gated_macro_f1,0.604268757919737,tables/e1_clean_performance.csv,model_name=robust-gated; mean(macro_f1) across folds,extrasensory-robust-gated-fold0-seed13-credible|extrasensory-robust-gated-fold1-seed13-credible|extrasensory-robust-gated-fold2-seed13-credible|extrasensory-robust-gated-fold3-seed13-credible|extrasensory-robust-gated-fold4-seed13-credible
natural_quality_aware_macro_f1,0.5780942883844525,tables/e2_natural_missingness.csv,model_name=quality-aware; mean(macro_f1) across folds,extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible
natural_gated_macro_f1,0.5670492463046087,tables/e2_natural_missingness.csv,model_name=gated; mean(macro_f1) across folds,extrasensory-gated-fold0-seed13-credible|extrasensory-gated-fold1-seed13-credible|extrasensory-gated-fold2-seed13-credible|extrasensory-gated-fold3-seed13-credible|extrasensory-gated-fold4-seed13-credible
drop_three_quality_aware_relative_drop,0.0945492491258916,tables/e4_drop_random_k.csv,model_name=quality-aware; drop_count=3; mean(relative_drop),extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible
drop_three_gated_relative_drop,0.12867879076669442,tables/e4_drop_random_k.csv,model_name=gated; drop_count=3; mean(relative_drop),extrasensory-gated-fold0-seed13-credible|extrasensory-gated-fold1-seed13-credible|extrasensory-gated-fold2-seed13-credible|extrasensory-gated-fold3-seed13-credible|extrasensory-gated-fold4-seed13-credible
natural_quality_aware_minus_gated_macro_f1,0.011045042079843937,tables/e2_natural_missingness.csv,paired fold mean: quality-aware minus gated macro_f1,extrasensory-gated-fold0-seed13-credible|extrasensory-gated-fold1-seed13-credible|extrasensory-gated-fold2-seed13-credible|extrasensory-gated-fold3-seed13-credible|extrasensory-gated-fold4-seed13-credible|extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible
natural_quality_aware_fold_wins_over_gated,5.0,tables/e2_natural_missingness.csv,count folds where quality-aware macro_f1 > gated macro_f1,extrasensory-gated-fold0-seed13-credible|extrasensory-gated-fold1-seed13-credible|extrasensory-gated-fold2-seed13-credible|extrasensory-gated-fold3-seed13-credible|extrasensory-gated-fold4-seed13-credible|extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible
credible_validated_run_count,60.0,run_completeness.json,validated_run_count,extrasensory-gated-fold0-seed13-credible|extrasensory-gated-fold1-seed13-credible|extrasensory-gated-fold2-seed13-credible|extrasensory-gated-fold3-seed13-credible|extrasensory-gated-fold4-seed13-credible|extrasensory-late-fold0-seed13-credible|extrasensory-late-fold1-seed13-credible|extrasensory-late-fold2-seed13-credible|extrasensory-late-fold3-seed13-credible|extrasensory-late-fold4-seed13-credible|extrasensory-linear-fold0-seed13-credible|extrasensory-linear-fold1-seed13-credible|extrasensory-linear-fold2-seed13-credible|extrasensory-linear-fold3-seed13-credible|extrasensory-linear-fold4-seed13-credible|extrasensory-mlp-fold0-seed13-credible|extrasensory-mlp-fold1-seed13-credible|extrasensory-mlp-fold2-seed13-credible|extrasensory-mlp-fold3-seed13-credible|extrasensory-mlp-fold4-seed13-credible|extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible|extrasensory-robust-gated-fold0-seed13-credible|extrasensory-robust-gated-fold1-seed13-credible|extrasensory-robust-gated-fold2-seed13-credible|extrasensory-robust-gated-fold3-seed13-credible|extrasensory-robust-gated-fold4-seed13-credible|extrasensory-single-audio-fold0-seed13-credible|extrasensory-single-audio-fold1-seed13-credible|extrasensory-single-audio-fold2-seed13-credible|extrasensory-single-audio-fold3-seed13-credible|extrasensory-single-audio-fold4-seed13-credible|extrasensory-single-location-fold0-seed13-credible|extrasensory-single-location-fold1-seed13-credible|extrasensory-single-location-fold2-seed13-credible|extrasensory-single-location-fold3-seed13-credible|extrasensory-single-location-fold4-seed13-credible|extrasensory-single-phone_acc-fold0-seed13-credible|extrasensory-single-phone_acc-fold1-seed13-credible|extrasensory-single-phone_acc-fold2-seed13-credible|extrasensory-single-phone_acc-fold3-seed13-credible|extrasensory-single-phone_acc-fold4-seed13-credible|extrasensory-single-phone_gyro-fold0-seed13-credible|extrasensory-single-phone_gyro-fold1-seed13-credible|extrasensory-single-phone_gyro-fold2-seed13-credible|extrasensory-single-phone_gyro-fold3-seed13-credible|extrasensory-single-phone_gyro-fold4-seed13-credible|extrasensory-single-phone_state-fold0-seed13-credible|extrasensory-single-phone_state-fold1-seed13-credible|extrasensory-single-phone_state-fold2-seed13-credible|extrasensory-single-phone_state-fold3-seed13-credible|extrasensory-single-phone_state-fold4-seed13-credible|extrasensory-single-watch_acc-fold0-seed13-credible|extrasensory-single-watch_acc-fold1-seed13-credible|extrasensory-single-watch_acc-fold2-seed13-credible|extrasensory-single-watch_acc-fold3-seed13-credible|extrasensory-single-watch_acc-fold4-seed13-credible
quality_aware_parameter_count,134875.0,tables/e8_efficiency.csv,model_name=quality-aware; parameter_count,extrasensory-quality-aware-fold0-seed13-credible|extrasensory-quality-aware-fold1-seed13-credible|extrasensory-quality-aware-fold2-seed13-credible|extrasensory-quality-aware-fold3-seed13-credible|extrasensory-quality-aware-fold4-seed13-credible
extrasensory_user_count,60.0,data_audit/dataset_summary.json,user_count,
