run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
ablation_dev|ablation-a1-no-sensor-dropout|fold0|seed13,1,success,2026-09-10T02:39:42.793873+00:00,2026-09-10T02:43:22.796935+00:00,0,runs\_phase5_logs\ablation_dev_ablation-a1-no-sensor-dropout_fold0_seed13\attempt-1.log,
ablation_dev|ablation-a2-no-noise|fold0|seed13,1,success,2026-09-10T02:43:22.800940+00:00,2026-09-10T02:47:11.089750+00:00,0,runs\_phase5_logs\ablation_dev_ablation-a2-no-noise_fold0_seed13\attempt-1.log,
ablation_dev|ablation-a3-no-quality|fold0|seed13,1,success,2026-09-10T02:47:11.093751+00:00,2026-09-10T02:51:35.226420+00:00,0,runs\_phase5_logs\ablation_dev_ablation-a3-no-quality_fold0_seed13\attempt-1.log,
ablation_dev|ablation-a4-no-reliability|fold0|seed13,1,success,2026-09-10T02:51:35.230451+00:00,2026-09-10T02:55:48.947247+00:00,0,runs\_phase5_logs\ablation_dev_ablation-a4-no-reliability_fold0_seed13\attempt-1.log,
ablation_dev|ablation-a5-no-reliability-loss|fold0|seed13,1,success,2026-09-10T02:55:48.950024+00:00,2026-09-10T03:00:11.589688+00:00,0,runs\_phase5_logs\ablation_dev_ablation-a5-no-reliability-loss_fold0_seed13\attempt-1.log,
ablation_dev|quality-aware|fold0|seed13,1,success,2026-09-10T03:00:11.593297+00:00,2026-09-10T03:04:36.292259+00:00,0,runs\_phase5_logs\ablation_dev_quality-aware_fold0_seed13\attempt-1.log,
credible|gated|fold0|seed13,1,success,2026-09-10T03:10:22.550244+00:00,2026-09-10T03:15:32.548903+00:00,0,runs\_phase5_logs\credible_gated_fold0_seed13\attempt-1.log,
credible|robust-gated|fold0|seed13,1,success,2026-09-10T03:16:25.953438+00:00,2026-09-10T03:46:02.928873+00:00,0,runs\_phase5_logs\credible_robust-gated_fold0_seed13\attempt-1.log,
credible|quality-aware|fold0|seed13,1,success,2026-09-10T04:48:01.090501+00:00,2026-09-10T05:22:16.454237+00:00,0,runs\_phase5_logs\credible_quality-aware_fold0_seed13\attempt-1.log,
credible|gated|fold1|seed13,1,success,2026-09-10T05:26:02.447139+00:00,2026-09-10T05:33:00.535617+00:00,0,runs\_phase5_logs\credible_gated_fold1_seed13\attempt-1.log,
credible|gated|fold2|seed13,1,success,2026-09-10T05:33:00.541123+00:00,2026-09-10T05:39:22.501048+00:00,0,runs\_phase5_logs\credible_gated_fold2_seed13\attempt-1.log,
credible|gated|fold3|seed13,1,success,2026-09-10T05:39:22.504373+00:00,2026-09-10T05:46:20.834997+00:00,0,runs\_phase5_logs\credible_gated_fold3_seed13\attempt-1.log,
credible|gated|fold4|seed13,1,success,2026-09-10T05:46:20.838114+00:00,2026-09-10T05:51:08.897164+00:00,0,runs\_phase5_logs\credible_gated_fold4_seed13\attempt-1.log,
credible|late|fold0|seed13,1,success,2026-09-10T05:51:08.900164+00:00,2026-09-10T05:56:43.465156+00:00,0,runs\_phase5_logs\credible_late_fold0_seed13\attempt-1.log,
credible|late|fold1|seed13,1,success,2026-09-10T05:56:43.469174+00:00,2026-09-10T06:03:04.708494+00:00,0,runs\_phase5_logs\credible_late_fold1_seed13\attempt-1.log,
credible|late|fold2|seed13,1,success,2026-09-10T06:03:04.712495+00:00,2026-09-10T06:08:18.177343+00:00,0,runs\_phase5_logs\credible_late_fold2_seed13\attempt-1.log,
credible|late|fold3|seed13,1,success,2026-09-10T06:08:18.181949+00:00,2026-09-10T06:14:32.839632+00:00,0,runs\_phase5_logs\credible_late_fold3_seed13\attempt-1.log,
credible|late|fold4|seed13,1,success,2026-09-10T06:14:32.842632+00:00,2026-09-10T06:18:11.761602+00:00,0,runs\_phase5_logs\credible_late_fold4_seed13\attempt-1.log,
credible|linear|fold0|seed13,1,success,2026-09-10T06:18:11.764602+00:00,2026-09-10T06:20:24.701324+00:00,0,runs\_phase5_logs\credible_linear_fold0_seed13\attempt-1.log,
credible|linear|fold1|seed13,1,success,2026-09-10T06:20:24.704329+00:00,2026-09-10T06:22:17.744525+00:00,0,runs\_phase5_logs\credible_linear_fold1_seed13\attempt-1.log,
credible|linear|fold2|seed13,1,success,2026-09-10T06:22:17.747525+00:00,2026-09-10T06:23:39.783491+00:00,0,runs\_phase5_logs\credible_linear_fold2_seed13\attempt-1.log,
