run_key,group,profile,model_name,fold,seed,status,attempt_count,created_at,updated_at,run_dir,protocol_sha256,command,reason,error_log
ablation_dev|ablation-a1-no-sensor-dropout|fold0|seed13,ablation_dev,ablation_dev,ablation-a1-no-sensor-dropout,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T02:43:22.797939+00:00,runs/extrasensory-ablation-a1-no-sensor-dropout-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model ablation-a1-no-sensor-dropout --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_ablation-a1-no-sensor-dropout_fold0_seed13\attempt-1.log
ablation_dev|ablation-a2-no-noise|fold0|seed13,ablation_dev,ablation_dev,ablation-a2-no-noise,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T02:47:11.090748+00:00,runs/extrasensory-ablation-a2-no-noise-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model ablation-a2-no-noise --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_ablation-a2-no-noise_fold0_seed13\attempt-1.log
ablation_dev|ablation-a3-no-quality|fold0|seed13,ablation_dev,ablation_dev,ablation-a3-no-quality,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T02:51:35.227924+00:00,runs/extrasensory-ablation-a3-no-quality-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model ablation-a3-no-quality --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_ablation-a3-no-quality_fold0_seed13\attempt-1.log
ablation_dev|ablation-a4-no-reliability|fold0|seed13,ablation_dev,ablation_dev,ablation-a4-no-reliability,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T02:55:48.947247+00:00,runs/extrasensory-ablation-a4-no-reliability-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model ablation-a4-no-reliability --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_ablation-a4-no-reliability_fold0_seed13\attempt-1.log
ablation_dev|ablation-a5-no-reliability-loss|fold0|seed13,ablation_dev,ablation_dev,ablation-a5-no-reliability-loss,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T03:00:11.589688+00:00,runs/extrasensory-ablation-a5-no-reliability-loss-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model ablation-a5-no-reliability-loss --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_ablation-a5-no-reliability-loss_fold0_seed13\attempt-1.log
ablation_dev|quality-aware|fold0|seed13,ablation_dev,ablation_dev,quality-aware,0,13,success,1,2026-09-10T02:39:42.786326+00:00,2026-09-10T03:04:36.293255+00:00,runs/extrasensory-quality-aware-fold0-seed13-ablation_dev,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model quality-aware --fold 0 --seed 13 --profile ablation_dev,,runs\_phase5_logs\ablation_dev_quality-aware_fold0_seed13\attempt-1.log
credible|gated|fold0|seed13,credible,credible,gated,0,13,success,1,2026-09-10T02:37:17.696014+00:00,2026-09-10T03:15:32.548903+00:00,runs/extrasensory-gated-fold0-seed13-credible,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model gated --fold 0 --seed 13 --profile credible,,runs\_phase5_logs\credible_gated_fold0_seed13\attempt-1.log
credible|gated|fold1|seed13,credible,credible,gated,1,13,success,1,2026-09-10T02:37:17.696014+00:00,2026-09-10T05:33:00.536632+00:00,runs/extrasensory-gated-fold1-seed13-credible,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model gated --fold 1 --seed 13 --profile credible,,runs\_phase5_logs\credible_gated_fold1_seed13\attempt-1.log
credible|gated|fold2|seed13,credible,credible,gated,2,13,success,1,2026-09-10T02:37:17.696014+00:00,2026-09-10T05:39:22.501048+00:00,runs/extrasensory-gated-fold2-seed13-credible,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model gated --fold 2 --seed 13 --profile credible,,runs\_phase5_logs\credible_gated_fold2_seed13\attempt-1.log
credible|gated|fold3|seed13,credible,credible,gated,3,13,success,1,2026-09-10T02:37:17.696014+00:00,2026-09-10T05:46:20.835997+00:00,runs/extrasensory-gated-fold3-seed13-credible,91a4e5fd7547ecf347d7fb3d7ee101d7389ac71f77386d4301e1bc1ec8929a7b,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe -m robustsense.cli.train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --data-config configs/data/extrasensory.yaml --model gated --fold 3 --seed 13 --profile credible,,runs\_phase5_logs\credible_gated_fold3_seed13\attempt-1.log
