run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
V2-4-EXT|B4|fold0|seed13,1,success,2026-09-19T01:06:25.487357+00:00,2026-09-19T01:07:56.212905+00:00,0,runs\v2\_phase_v2_4_extended_logs\V2-4-EXT_B4_fold0_seed13\attempt-1.log,
V2-4-EXT|B4|fold0|seed29,1,success,2026-09-19T01:11:24.878759+00:00,2026-09-19T01:13:10.878072+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold0_seed29\attempt-1.log,
V2-4-EXT|B4|fold0|seed47,1,success,2026-09-19T01:11:24.882776+00:00,2026-09-19T01:13:10.928206+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold0_seed47\attempt-1.log,
V2-4-EXT|B4|fold1|seed13,1,success,2026-09-19T01:13:10.886179+00:00,2026-09-19T01:15:11.937647+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed13\attempt-1.log,
V2-4-EXT|B4|fold1|seed29,1,success,2026-09-19T01:13:10.936319+00:00,2026-09-19T01:15:11.972955+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed29\attempt-1.log,
V2-4-EXT|B4|fold1|seed47,1,success,2026-09-19T01:15:11.946802+00:00,2026-09-19T01:17:14.147594+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed47\attempt-1.log,
V2-4-EXT|B4|fold2|seed13,1,success,2026-09-19T01:15:11.978563+00:00,2026-09-19T01:18:01.420863+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed13\attempt-1.log,
V2-4-EXT|B4|fold2|seed29,1,success,2026-09-19T01:17:14.154661+00:00,2026-09-19T01:20:07.948745+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed29\attempt-1.log,
V2-4-EXT|B4|fold2|seed47,1,success,2026-09-19T01:18:01.428370+00:00,2026-09-19T01:20:50.759972+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed47\attempt-1.log,
V2-4-EXT|B4|fold3|seed13,1,success,2026-09-19T01:20:07.955296+00:00,2026-09-19T01:22:26.199386+00:00,0,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold3_seed13\attempt-1.log,
