run_key,group,profile,model_name,fold,seed,status,attempt_count,created_at,updated_at,run_dir,protocol_sha256,command,reason,error_log
V2-4-EXT|B4|fold0|seed13,V2-4-extended,v2_multiseed_extended,B4,0,13,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:07:56.210899+00:00,runs/extrasensory-gated-fold0-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold0-seed13-credible --model-id B4,,runs\v2\_phase_v2_4_extended_logs\V2-4-EXT_B4_fold0_seed13\attempt-1.log
V2-4-EXT|B4|fold0|seed29,V2-4-extended,v2_multiseed_extended,B4,0,29,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:13:10.876028+00:00,runs/extrasensory-gated-fold0-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold0-seed29-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold0_seed29\attempt-1.log
V2-4-EXT|B4|fold0|seed47,V2-4-extended,v2_multiseed_extended,B4,0,47,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:13:10.926698+00:00,runs/extrasensory-gated-fold0-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold0-seed47-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold0_seed47\attempt-1.log
V2-4-EXT|B4|fold1|seed13,V2-4-extended,v2_multiseed_extended,B4,1,13,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:15:11.936138+00:00,runs/extrasensory-gated-fold1-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold1-seed13-credible --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed13\attempt-1.log
V2-4-EXT|B4|fold1|seed29,V2-4-extended,v2_multiseed_extended,B4,1,29,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:15:11.970955+00:00,runs/extrasensory-gated-fold1-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold1-seed29-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed29\attempt-1.log
V2-4-EXT|B4|fold1|seed47,V2-4-extended,v2_multiseed_extended,B4,1,47,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:17:14.146594+00:00,runs/extrasensory-gated-fold1-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold1-seed47-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold1_seed47\attempt-1.log
V2-4-EXT|B4|fold2|seed13,V2-4-extended,v2_multiseed_extended,B4,2,13,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:18:01.418359+00:00,runs/extrasensory-gated-fold2-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold2-seed13-credible --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed13\attempt-1.log
V2-4-EXT|B4|fold2|seed29,V2-4-extended,v2_multiseed_extended,B4,2,29,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:20:07.946236+00:00,runs/extrasensory-gated-fold2-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold2-seed29-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed29\attempt-1.log
V2-4-EXT|B4|fold2|seed47,V2-4-extended,v2_multiseed_extended,B4,2,47,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:20:50.757970+00:00,runs/extrasensory-gated-fold2-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold2-seed47-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold2_seed47\attempt-1.log
V2-4-EXT|B4|fold3|seed13,V2-4-extended,v2_multiseed_extended,B4,3,13,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:22:26.197386+00:00,runs/extrasensory-gated-fold3-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold3-seed13-credible --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold3_seed13\attempt-1.log
V2-4-EXT|B4|fold3|seed29,V2-4-extended,v2_multiseed_extended,B4,3,29,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:23:07.774021+00:00,runs/extrasensory-gated-fold3-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold3-seed29-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold3_seed29\attempt-1.log
V2-4-EXT|B4|fold3|seed47,V2-4-extended,v2_multiseed_extended,B4,3,47,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:24:43.365670+00:00,runs/extrasensory-gated-fold3-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold3-seed47-full --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold3_seed47\attempt-1.log
V2-4-EXT|B4|fold4|seed13,V2-4-extended,v2_multiseed_extended,B4,4,13,success,1,2026-09-19T01:06:21.453214+00:00,2026-09-19T01:24:15.626705+00:00,runs/extrasensory-gated-fold4-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_extended_unit.py --run-dir C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\runs\extrasensory-gated-fold4-seed13-credible --model-id B4,,runs\v2\_phase_v2_4_extended_parallel_logs\V2-4-EXT_B4_fold4_seed13\attempt-1.log
