model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,0,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.383269436531,0.618664110247,0.410677815476,0.17361899611,3
B4,0,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.337896772001,0.583728933767,0.354353723301,0.176904160285,3
B4,0,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.423401473289,0.655442826421,0.433974106477,0.148720388089,3
B4,0,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.35075508437,0.568687705035,0.366563256849,0.177313352633,3
B4,0,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.449266461597,0.658546228578,0.452286131084,0.149544762136,3
B4,0,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.406419042481,0.6288185704,0.418224609883,0.154929073149,3
B4,0,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.476138400026,0.685837414984,0.475544956001,0.135962255996,3
B4,0,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.339766580666,0.551482390615,0.393943221895,0.186648866806,3
B4,0,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.462377267866,0.660814939136,0.483477190072,0.14792423109,3
B4,0,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.430682898924,0.640174945176,0.450433578083,0.147041413578,3
B4,0,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.490679834224,0.686898867839,0.504745784376,0.131502937257,3
B4,0,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.456433811989,0.627628852978,0.491900923035,0.157102770252,3
B4,0,mask.001101,3,watch_acc|location|phone_state,phone_acc|phone_gyro|audio,0.525416513755,0.697151074411,0.530430893096,0.130512607435,3
B4,0,mask.001110,3,watch_acc|location|audio,phone_acc|phone_gyro|phone_state,0.504857340353,0.673664679637,0.516559308668,0.133991077455,3
B4,0,mask.001111,4,watch_acc|location|audio|phone_state,phone_acc|phone_gyro,0.536446769891,0.712153554885,0.54369472244,0.122478153409,3
B4,0,mask.010000,1,phone_gyro,phone_acc|watch_acc|location|audio|phone_state,0.245914775701,0.462592745892,0.291348155321,0.220367025772,3
B4,0,mask.010001,2,phone_gyro|phone_state,phone_acc|watch_acc|location|audio,0.430781215343,0.631212559089,0.441667642001,0.165981229357,3
B4,0,mask.010010,2,phone_gyro|audio,phone_acc|watch_acc|location|phone_state,0.375314493739,0.594272854438,0.397725965318,0.168198391792,3
B4,0,mask.010011,3,phone_gyro|audio|phone_state,phone_acc|watch_acc|location,0.462781004696,0.663882937523,0.466336040576,0.144544656222,3
B4,0,mask.010100,2,phone_gyro|location,phone_acc|watch_acc|audio|phone_state,0.385905994403,0.561456451707,0.401904459924,0.184847884918,3
B4,0,mask.010101,3,phone_gyro|location|phone_state,phone_acc|watch_acc|audio,0.493924445772,0.66725900909,0.491444448424,0.146048233592,3
B4,0,mask.010110,3,phone_gyro|location|audio,phone_acc|watch_acc|phone_state,0.440133284434,0.637839287545,0.457066698249,0.14865304554,3
B4,0,mask.010111,4,phone_gyro|location|audio|phone_state,phone_acc|watch_acc,0.512389445303,0.691293393039,0.50982477473,0.132837492147,3
B4,0,mask.011000,2,phone_gyro|watch_acc,phone_acc|location|audio|phone_state,0.337440278521,0.533572368039,0.376125419262,0.198950586555,3
B4,0,mask.011001,3,phone_gyro|watch_acc|phone_state,phone_acc|location|audio,0.479460016661,0.660317816698,0.493679995913,0.149590271932,3
B4,0,mask.011010,3,phone_gyro|watch_acc|audio,phone_acc|location|phone_state,0.437108698972,0.638010253389,0.458440896983,0.148966399855,3
