model_id,fold,scenario_id,drop_modality,noisy_modality,gaussian_sigma,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,0,mixed.drop-audio.gaussian-location.sigma-1,audio,location,1,0.539150983702,0.691941525688,0.545690743997,0.13392121655,3
B4,0,mixed.drop-audio.gaussian-location.sigma-2,audio,location,2,0.523797474562,0.68398606669,0.529250158308,0.137821555307,3
B4,0,mixed.drop-audio.gaussian-phone_acc.sigma-1,audio,phone_acc,1,0.556160178481,0.706595045388,0.564550969701,0.126809369588,3
B4,0,mixed.drop-audio.gaussian-phone_acc.sigma-2,audio,phone_acc,2,0.552505368836,0.704081918558,0.560403593862,0.128505917709,3
B4,0,mixed.drop-audio.gaussian-phone_gyro.sigma-1,audio,phone_gyro,1,0.557492322683,0.707748620543,0.566690036522,0.126247798746,3
B4,0,mixed.drop-audio.gaussian-phone_gyro.sigma-2,audio,phone_gyro,2,0.556141215509,0.706297851147,0.563999756564,0.126896057763,3
B4,0,mixed.drop-audio.gaussian-phone_state.sigma-1,audio,phone_state,1,0.510213302741,0.662320406081,0.519009121401,0.141711476791,3
B4,0,mixed.drop-audio.gaussian-phone_state.sigma-2,audio,phone_state,2,0.486861717018,0.6423850393,0.48931231734,0.149919771391,3
B4,0,mixed.drop-audio.gaussian-watch_acc.sigma-1,audio,watch_acc,1,0.540957589835,0.691477975636,0.545019993049,0.133029330961,3
B4,0,mixed.drop-audio.gaussian-watch_acc.sigma-2,audio,watch_acc,2,0.517847727185,0.679185351077,0.51615245472,0.138428226588,3
B4,0,mixed.drop-location.gaussian-audio.sigma-1,location,audio,1,0.500462457267,0.673854342408,0.506583682579,0.142162799231,3
B4,0,mixed.drop-location.gaussian-audio.sigma-2,location,audio,2,0.482629182599,0.661746390686,0.489655436596,0.147411120603,3
B4,0,mixed.drop-location.gaussian-phone_acc.sigma-1,location,phone_acc,1,0.530726865046,0.697011171722,0.536233831895,0.130785342062,3
B4,0,mixed.drop-location.gaussian-phone_acc.sigma-2,location,phone_acc,2,0.522569443713,0.693914014633,0.529575507684,0.132292720407,3
B4,0,mixed.drop-location.gaussian-phone_gyro.sigma-1,location,phone_gyro,1,0.535626795948,0.699430609587,0.539241584869,0.130154422881,3
B4,0,mixed.drop-location.gaussian-phone_gyro.sigma-2,location,phone_gyro,2,0.53279530958,0.697361285703,0.534967676727,0.13122900221,3
