model_id,scenario_id,fault,target_modality,fault_length,phase,macro_f1,micro_f1,masked_bce,macro_f1_fold_std,micro_f1_fold_std,masked_bce_fold_std,fold_count,seed_count_per_fold
B4,persistent.drop.audio,drop,audio,5,fault,0.58031904746,0.685376128416,0.477746197228,0.0406442063469,0.0270091905667,0.0482908999513,5,3
B4,persistent.drop.audio,drop,audio,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.drop.audio,drop,audio,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.drop.audio,drop,audio,15,fault,0.591446674487,0.703461155325,0.449832209299,0.0416909873606,0.0283172044367,0.050709392002,5,3
B4,persistent.drop.audio,drop,audio,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.drop.audio,drop,audio,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.drop.audio,drop,audio,30,fault,0.572104960055,0.714462835678,0.437237210254,0.0429383632123,0.0390014585942,0.0602539784738,5,3
B4,persistent.drop.audio,drop,audio,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.drop.audio,drop,audio,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.drop.location,drop,location,5,fault,0.575323554856,0.692732164168,0.457515320514,0.0310325972502,0.0299659167351,0.041347229474,5,3
B4,persistent.drop.location,drop,location,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
B4,persistent.drop.location,drop,location,5,pre,0.601991860099,0.712139101685,0.414438956246,0.0385161681784,0.0254004966704,0.0273302794537,5,3
B4,persistent.drop.location,drop,location,15,fault,0.580732507914,0.710632131547,0.430449214426,0.0280000896556,0.0326212037199,0.0523646231069,5,3
B4,persistent.drop.location,drop,location,15,post,0.607809938314,0.728014116701,0.389816802158,0.0515631503302,0.025184602924,0.0287061777734,5,3
B4,persistent.drop.location,drop,location,15,pre,0.598298622178,0.725402193369,0.393134481846,0.0427863616578,0.0316263130727,0.0381959642376,5,3
B4,persistent.drop.location,drop,location,30,fault,0.572373592803,0.726240923752,0.415887504055,0.0310770926349,0.0291957461962,0.0583375023472,5,3
B4,persistent.drop.location,drop,location,30,post,0.609874471618,0.74341852749,0.376973083177,0.0456609418616,0.0348069566464,0.0447359386201,5,3
B4,persistent.drop.location,drop,location,30,pre,0.599804223899,0.739007206159,0.37705001413,0.0560238604181,0.0337853243725,0.0398409255663,5,3
B4,persistent.drop.phone_acc,drop,phone_acc,5,fault,0.591624185975,0.700863064894,0.434113611624,0.0383048864271,0.0292960180862,0.0359253533193,5,3
B4,persistent.drop.phone_acc,drop,phone_acc,5,post,0.601188529274,0.710050282676,0.417778801474,0.0335906151192,0.0280042694024,0.0314860460429,5,3
