run_key,attempt,status,started_at,finished_at,return_code,log_path,reason
V2-4|B4|fold0|seed29,1,success,2026-09-18T12:23:23.070755+00:00,2026-09-18T12:27:49.429827+00:00,0,runs\v2\_phase_v2_4_logs\V2-4_B4_fold0_seed29\attempt-1.log,
V2-4|B5|fold0|seed29,1,success,2026-09-18T12:27:49.432331+00:00,2026-09-18T12:53:08.772132+00:00,0,runs\v2\_phase_v2_4_logs\V2-4_B5_fold0_seed29\attempt-1.log,
V2-4|P|fold0|seed29,1,success,2026-09-18T12:53:08.787286+00:00,2026-09-18T13:24:59.989998+00:00,0,runs\v2\_phase_v2_4_logs\V2-4_P_fold0_seed29\attempt-1.log,
V2-4|B4|fold0|seed47,1,success,2026-09-18T13:24:59.993891+00:00,2026-09-18T13:33:11.957660+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold0_seed47\attempt-1.log,
V2-4|P2|fold0|seed29,1,failed,2026-09-18T13:18:33.150081+00:00,2026-09-18T13:55:25.204577+00:00,1,runs\v2\_phase_v2_4_parallel_logs\V2-4_P2_fold0_seed29\attempt-1.log,output_contract_error: Test thresholds are not validation-derived
V2-4|B5|fold0|seed47,1,success,2026-09-18T13:33:11.960661+00:00,2026-09-18T14:03:03.049191+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_B5_fold0_seed47\attempt-1.log,
V2-4|P|fold0|seed47,1,success,2026-09-18T13:55:25.206579+00:00,2026-09-18T14:28:34.520110+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_P_fold0_seed47\attempt-1.log,
V2-4|B4|fold1|seed29,1,success,2026-09-18T14:28:34.528618+00:00,2026-09-18T14:33:16.694403+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold1_seed29\attempt-1.log,
V2-4|P2|fold0|seed47,1,failed,2026-09-18T14:03:03.057209+00:00,2026-09-18T14:34:36.438465+00:00,1,runs\v2\_phase_v2_4_parallel_logs\V2-4_P2_fold0_seed47\attempt-1.log,output_contract_error: Test thresholds are not validation-derived
V2-4|B5|fold1|seed29,1,success,2026-09-18T14:33:16.702985+00:00,2026-09-18T15:13:10.033191+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_B5_fold1_seed29\attempt-1.log,
V2-4|P|fold1|seed29,1,success,2026-09-18T14:34:36.447537+00:00,2026-09-18T15:22:14.461173+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_P_fold1_seed29\attempt-1.log,
V2-4|B4|fold1|seed47,1,success,2026-09-18T15:22:14.468789+00:00,2026-09-18T15:26:33.175817+00:00,0,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold1_seed47\attempt-1.log,
