run_key,group,profile,model_name,fold,seed,status,attempt_count,created_at,updated_at,run_dir,protocol_sha256,command,reason,error_log
V2-4|B4|fold0|seed13,V2-4,v2_multiseed_core,B4,0,13,success,0,2026-09-18T12:22:54.853423+00:00,2026-09-18T12:22:54.853423+00:00,runs/extrasensory-gated-fold0-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,reused_contract_verified:extrasensory-gated-fold0-seed13-credible,
V2-4|B4|fold0|seed29,V2-4,v2_multiseed_core,B4,0,29,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T12:27:49.428827+00:00,runs/extrasensory-gated-fold0-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 0 --seed 29 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_logs\V2-4_B4_fold0_seed29\attempt-1.log
V2-4|B4|fold0|seed47,V2-4,v2_multiseed_core,B4,0,47,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T13:33:11.955656+00:00,runs/extrasensory-gated-fold0-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 0 --seed 47 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold0_seed47\attempt-1.log
V2-4|B4|fold1|seed13,V2-4,v2_multiseed_core,B4,1,13,success,0,2026-09-18T12:22:54.853423+00:00,2026-09-18T12:22:54.853423+00:00,runs/extrasensory-gated-fold1-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,reused_contract_verified:extrasensory-gated-fold1-seed13-credible,
V2-4|B4|fold1|seed29,V2-4,v2_multiseed_core,B4,1,29,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T14:33:16.693403+00:00,runs/extrasensory-gated-fold1-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 1 --seed 29 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold1_seed29\attempt-1.log
V2-4|B4|fold1|seed47,V2-4,v2_multiseed_core,B4,1,47,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T15:26:33.172817+00:00,runs/extrasensory-gated-fold1-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 1 --seed 47 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold1_seed47\attempt-1.log
V2-4|B4|fold2|seed13,V2-4,v2_multiseed_core,B4,2,13,success,0,2026-09-18T12:22:54.853423+00:00,2026-09-18T12:22:54.853423+00:00,runs/extrasensory-gated-fold2-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,reused_contract_verified:extrasensory-gated-fold2-seed13-credible,
V2-4|B4|fold2|seed29,V2-4,v2_multiseed_core,B4,2,29,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T16:25:36.065856+00:00,runs/extrasensory-gated-fold2-seed29-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 2 --seed 29 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold2_seed29\attempt-1.log
V2-4|B4|fold2|seed47,V2-4,v2_multiseed_core,B4,2,47,success,1,2026-09-18T12:22:54.853423+00:00,2026-09-18T16:54:44.267449+00:00,runs/extrasensory-gated-fold2-seed47-full,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\.venv-dev\Scripts\python.exe C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense\scripts\run_v2_phase4_unit.py train --project-root C:\Users\Cs060\Documents\Codex\2026-09-10\zi-a\outputs\robustsense --v1-model gated --fold 2 --seed 47 --protocol-sha256 35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,runs\v2\_phase_v2_4_parallel_logs\V2-4_B4_fold2_seed47\attempt-1.log
V2-4|B4|fold3|seed13,V2-4,v2_multiseed_core,B4,3,13,success,0,2026-09-18T12:22:54.853423+00:00,2026-09-18T12:22:54.853423+00:00,runs/extrasensory-gated-fold3-seed13-credible,35035f18ccb129c1f3b5d8b70f724d9059bf4f5d433259ba586b477d30bd9d34,,reused_contract_verified:extrasensory-gated-fold3-seed13-credible,
