phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.05,0.0500007685331775,3253,0.0720296784427001,0.4853194831499272,0.9700593829159918,42007,mean_binary_certainty,0.9332148977592808
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.1,0.1000015370663551,6506,0.1166940259504483,0.4217844834600346,0.9488510317692856,83882,mean_binary_certainty,0.9064446100123196
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.15,0.1500023055995327,9759,0.1468186866670487,0.3783970178850108,0.9414081045605608,124193,mean_binary_certainty,0.8513218567547349
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.2,0.2000030741327103,13012,0.1757163801452024,0.5127465770546303,0.9287251980444764,162119,mean_binary_certainty,0.7315993158376841
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.25,0.2500038426658879,16265,0.2034814510363319,0.5736387413133772,0.9099093433004788,195585,mean_binary_certainty,0.6413103801813578
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.3,0.3000046111990654,19518,0.2223090238005969,0.6082576031294269,0.8944427925319645,229613,mean_binary_certainty,0.5803643079019873
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.35,0.350005379732243,22771,0.2414968739290912,0.5982368915107386,0.8781778043125112,262911,mean_binary_certainty,0.5359875400591335
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.4,0.4000061482654206,26024,0.2599281156018266,0.5984665075291937,0.8619049407287794,295198,mean_binary_certainty,0.4993207521231682
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.45,0.4500069167985982,29277,0.2768494702016066,0.6165269073523006,0.8472702773685954,326526,mean_binary_certainty,0.4684577128896244
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.5,0.5000076853317758,32530,0.2932418881525325,0.613912742293396,0.8329484380248572,358084,mean_binary_certainty,0.4403254028895101
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.55,0.5500084538649533,35783,0.3078268000900225,0.610774644637987,0.8197099362171051,389002,mean_binary_certainty,0.4153235498782041
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.6,0.6000092223981309,39036,0.3220336114919245,0.6026415618782797,0.8061005337513932,420027,mean_binary_certainty,0.390873183025277
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.65,0.6500099909313085,42289,0.33686911060395,0.59386710227099,0.7927693260591046,450864,mean_binary_certainty,0.3669419615612054
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.7,0.7000107594644861,45542,0.3505920975253674,0.5869770198445449,0.7802188176837813,481937,mean_binary_certainty,0.3434551886039022
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.75,0.7500115279976637,48795,0.3637272437203856,0.5802225773752056,0.7679660388800916,513345,mean_binary_certainty,0.3195562633412265
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.8,0.8000122965308413,52048,0.3758413884955246,0.573146732628599,0.7560972169325604,545223,mean_binary_certainty,0.2930575340117128
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.85,0.8500130650640189,55301,0.3881582076039916,0.5650790152293778,0.744822487670211,577254,mean_binary_certainty,0.2642255702384302
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.9,0.9000138335971964,58554,0.3989767413053035,0.558360295777651,0.7351094561687033,609194,mean_binary_certainty,0.2299991768712347
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.95,0.950014602130374,61807,0.4096670634508701,0.5528630948426722,0.7271995444232093,641726,mean_binary_certainty,0.1843397072390767
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,1.0,1.0,65059,0.4200324500577393,0.5471000311094935,0.7202869055470481,673892,mean_binary_certainty,0.0381908100644993
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.05,0.0500007685331775,3253,0.0775488392520917,0.4364913486083238,0.977338115319434,41602,mean_normalized_threshold_margin,0.97782444434015
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,0.1,0.1000015370663551,6506,0.1197857055192625,0.3870752955544498,0.9596240722813812,82335,mean_normalized_threshold_margin,0.9538701911657566
