phase,model_id,fold,seed,scenario,protocol_sha256,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,mean_binary_certainty,65059,43266,0.6650271292211685,0.7577417328952369,0.8357963630045067,0.2861168247588843,0.4967614443867069,0.2355580783492444,0.0381908100644993,0.9850938857398076,0.8000122965308413,0.3758413884955246,0.573146732628599,0.7560972169325604,0.9000138335971964,0.3989767413053035,0.558360295777651,0.7351094561687033,0.950014602130374,0.4096670634508701,0.5528630948426722,0.7271995444232093,1.0,0.4200324500577393,0.5471000311094935,0.7202869055470481
V3-1,B4,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,aed7c20edb76f0ed2fbcb71f7928cb2f651b331d1860880b2285e831e21975f1,extrasensory-gated-fold0-seed13-credible,mean_normalized_threshold_margin,65059,43266,0.6650271292211685,0.7606659007581811,0.8383899184628214,0.2865336158516565,0.6878954880776816,0.1703873297381916,0.245469746387713,0.997240477787868,0.8000122965308413,0.3731506054024081,0.577272660857402,0.7644828621501036,0.9000138335971964,0.3955938628907337,0.5608728659513429,0.7430522918820691,0.950014602130374,0.407316952573349,0.553600640413751,0.731918285761877,1.0,0.4200324500577393,0.5471000311094935,0.7202869055470481
V3-1,B5,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b7f3601fd2e3d51f28c2e0ab8b1406eca54f182b449f477284a04590432a2b91,extrasensory-robust-gated-fold0-seed13-credible,mean_binary_certainty,65059,47808,0.7348406830722882,0.7642069652928178,0.8783136307701855,0.2850658322636027,0.5467995222824673,0.2239652124915884,0.0230937079959635,0.999417493360792,0.8000122965308413,0.3658280781084358,0.6188677096663284,0.7415896856516249,0.9000138335971964,0.3863009211936157,0.6034212892885191,0.7233970952887,0.950014602130374,0.3971364585959341,0.5949333013215374,0.7149632043206329,1.0,0.4095980501483045,0.5838538793222415,0.7068602015312997
V3-1,B5,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,b7f3601fd2e3d51f28c2e0ab8b1406eca54f182b449f477284a04590432a2b91,extrasensory-robust-gated-fold0-seed13-credible,mean_normalized_threshold_margin,65059,47808,0.7348406830722882,0.7644985241140396,0.8815384137074892,0.284615883890654,0.7174853922037548,0.1635622125363162,0.2498959022599013,0.999671439390111,0.8000122965308413,0.3655715797210525,0.621646469441554,0.747810305373629,0.9000138335971964,0.3852241165967052,0.6075801111361445,0.7290582833253085,0.950014602130374,0.3962296371055228,0.597816722396882,0.7182874352165757,1.0,0.4095980501483045,0.5838538793222415,0.7068602015312997
V3-1,P,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,ac6a5cb5e8a6d7a7d0ab18ab352587b8249a5dafe04d9b5b08c92f99f6b260f6,extrasensory-quality-aware-fold0-seed13-credible,mean_binary_certainty,65059,44907,0.6902503881092547,0.751266696397733,0.8492536508830691,0.3033037667233748,0.5512347706842959,0.2288566362567848,0.0270934087446573,0.999259513500396,0.8000122965308413,0.3797975217279747,0.604637378730628,0.7499389759651252,0.9000138335971964,0.4000087717598899,0.591429054631391,0.7304754767767293,0.950014602130374,0.4095964986394763,0.584038892632078,0.7220302151121797,1.0,0.4201328185201666,0.5771159058415383,0.7153043383236805
V3-1,P,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,ac6a5cb5e8a6d7a7d0ab18ab352587b8249a5dafe04d9b5b08c92f99f6b260f6,extrasensory-quality-aware-fold0-seed13-credible,mean_normalized_threshold_margin,65059,44907,0.6902503881092547,0.7493889272269831,0.8460336123228707,0.3033237148278698,0.727678926858818,0.1621895691296264,0.2446234009703321,0.9995698383364596,0.8000122965308413,0.3807636002863014,0.6077177177146751,0.754634878803665,0.9000138335971964,0.3996926895268848,0.5933786266459632,0.7345519957217171,0.950014602130374,0.4096432927272495,0.5856162828101447,0.7249041969227936,1.0,0.4201328185201666,0.5771159058415383,0.7153043383236805
V3-1,P2,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,mean_binary_certainty,65059,45690,0.7022856176701148,0.7398409601884521,0.8455488805111082,0.2924806751438015,0.5585290361959787,0.2212474529933366,0.017540671260924,0.9980724353757676,0.8000122965308413,0.3737810642309998,0.6138393561471046,0.7467952019005637,0.9000138335971964,0.3927000631963255,0.6009921886336468,0.7294068828319751,0.950014602130374,0.4022655027633949,0.5931422458339518,0.7215789519264911,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-1,P2,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,mean_normalized_threshold_margin,65059,45690,0.7022856176701148,0.736105043200297,0.8408186275185623,0.2920846798905631,0.7302208050727178,0.1571813930885359,0.224265218719974,0.9996380033716384,0.8000122965308413,0.3737943914680632,0.6152195142667648,0.7518003140397422,0.9000138335971964,0.3917894698357609,0.6023697560528429,0.7337397389640894,0.950014602130374,0.4014350827235549,0.5957614951651031,0.7245734582855566,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-1,P2,0,13,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,p2_system_reliability,65059,45690,0.7022856176701148,0.4930744090749059,0.7015033977525897,0.410298343370799,0.9835620516388278,0.0152026342295329,0.8367984294891357,0.9995046854019164,0.8000122965308413,0.4103260173883554,0.5978167161004211,0.7208866109223407,0.9000138335971964,0.4111840375170621,0.5931666357508256,0.7180867597133157,0.950014602130374,0.4121701785670695,0.5904436066582378,0.716428630942633,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-1,B4,0,29,natural_missingness,fb82651717076e658cf67e62ccd41ca247d29c994518945706edefcf0b635aa0,6aff1859e866d5ba4bd3897d30ef8baa832982a9c5ee3cbc7b39ec64cebd2db7,extrasensory-gated-fold0-seed29-full,mean_binary_certainty,65059,45183,0.6944926912494812,0.7443204971948182,0.8530653918497655,0.3309609127526404,0.5967409172783189,0.2249378881569431,0.0260781863264415,0.9997197517033592,0.8000122965308413,0.3872610515091125,0.5943523000796195,0.7494838595004033,0.9000138335971964,0.4073627573965238,0.5784489972521866,0.7282678154839617,0.950014602130374,0.4181954715951776,0.5701009275155804,0.718158256714689,1.0,0.4296380089856975,0.5625090467573239,0.710747379322816
