fold,seed,selector,feature_count,iterations,val_in_sample_error_detection_auroc,test_error_detection_auroc,val_minus_test_auroc
0,13,task_confidence_full,49,97,0.7848343336643282,0.7625468325403852,0.022287501123942954
0,13,task_confidence_output_only,30,54,0.7721767352494607,0.7298746947931919,0.04230204045626884
0,29,task_confidence_full,49,138,0.7781842752913462,0.781846991296244,-0.00366271600489787
0,29,task_confidence_output_only,30,62,0.7599635247378307,0.7334528425417433,0.02651068219608743
0,47,task_confidence_full,49,135,0.7869316537671228,0.7709563690540223,0.0159752847131005
0,47,task_confidence_output_only,30,67,0.7702218723392973,0.74169789557397,0.028523976765327252
1,13,task_confidence_full,49,126,0.7625143330020617,0.7082139338070181,0.05430039919504359
1,13,task_confidence_output_only,30,80,0.7318387285891583,0.7166087634565436,0.015229965132614764
1,29,task_confidence_full,49,101,0.7807100144594384,0.6979587823010045,0.08275123215843394
1,29,task_confidence_output_only,30,66,0.7305372777413934,0.7209427232858515,0.009594554455541915
1,47,task_confidence_full,49,157,0.7831667309255168,0.6975305534993571,0.0856361774261597
1,47,task_confidence_output_only,30,62,0.7330996534208436,0.7103834773083242,0.022716176112519415
2,13,task_confidence_full,49,103,0.788262566451351,0.7557253155882501,0.032537250863100886
2,13,task_confidence_output_only,30,56,0.7809539959890237,0.7628779097025881,0.018076086286435644
2,29,task_confidence_full,49,71,0.7933987622248408,0.7371173415665071,0.05628142065833375
2,29,task_confidence_output_only,30,71,0.7906206857480704,0.7577724344530901,0.03284825129498037
2,47,task_confidence_full,49,69,0.779475683413897,0.7345369173029661,0.04493876611093084
2,47,task_confidence_output_only,30,54,0.7744743260921749,0.746769766175286,0.027704559916888916
3,13,task_confidence_full,49,169,0.8021255093926345,0.7044003880690647,0.09772512132356981
3,13,task_confidence_output_only,30,56,0.7670821763223137,0.6977967601041732,0.06928541621814044
3,29,task_confidence_full,49,102,0.7936968462083629,0.7424026755094699,0.05129417069889297
3,29,task_confidence_output_only,30,35,0.7497289166980416,0.7471889464436758,0.0025399702543658087
3,47,task_confidence_full,49,91,0.8014209509431949,0.7494721958650868,0.05194875507810803
3,47,task_confidence_output_only,30,56,0.7780399288977032,0.7469252848966854,0.03111464400101782
4,13,task_confidence_full,49,152,0.7884355034357927,0.7105881704583624,0.0778473329774303
4,13,task_confidence_output_only,30,61,0.767034070802597,0.7246869295288345,0.04234714127376249
4,29,task_confidence_full,49,163,0.7724678690485576,0.6061699525000361,0.16629791654852144
4,29,task_confidence_output_only,30,59,0.7490389223062639,0.679343299382465,0.06969562292379894
4,47,task_confidence_full,49,126,0.7933078642637067,0.7307721493387136,0.0625357149249931
4,47,task_confidence_output_only,30,67,0.7704531410422618,0.718123594204625,0.0523295468376368
