phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,requested_coverage,coverage,accepted_count,risk_masked_bce,macro_f1,micro_f1,known_target_count,score_method,confidence_cutoff
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.05,0.05000980199960792,2551,0.21654133414249682,0.3879960112867785,0.894770819883796,26963,mean_binary_certainty,0.9088485885752654
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.1,0.1,5101,0.212508539170605,0.4208944755972947,0.9040619075737328,54692,mean_binary_certainty,0.8385978508359827
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.15,0.15000980199960792,7652,0.24736234929934053,0.542754716952983,0.8998991850793917,81073,mean_binary_certainty,0.7414627520332642
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.2,0.2,10202,0.278525668045981,0.6512931547480391,0.8859514895002442,106371,mean_binary_certainty,0.6772155616323272
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.25,0.25000980199960793,12753,0.2825559092802887,0.6802472339483607,0.8747886728655959,132009,mean_binary_certainty,0.6291341198896557
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.3,0.3,15303,0.2909150664608274,0.6837685592729932,0.8582736524689031,158084,mean_binary_certainty,0.5903848559674076
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.35,0.3500098019996079,17854,0.3017754769046652,0.6871955829490759,0.8435781144456238,183394,mean_binary_certainty,0.5530972598765707
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.4,0.4,20404,0.31649408832810827,0.6890923138442963,0.8290092834472137,208684,mean_binary_certainty,0.5195807560525509
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.45,0.45000980199960794,22955,0.33299969073489943,0.6858215839043191,0.8156270579046511,232927,mean_binary_certainty,0.48923533483603854
V3-3,P2,4,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,0b49226144b5f16876e528192d37fc62d46964c786b06fe3b4858b92c5043a1f,extrasensory-p2-fold4-seed13-v2_seed13,0.5,0.5,25505,0.3453480439471208,0.6874592573536806,0.8037108555117118,256406,mean_binary_certainty,0.4632159012659024
