phase,model_id,fold,seed,scenario,protocol_sha256,selected_family,source_prediction_sha256,run_id,score_method,valid_count,error_count,error_prevalence,error_detection_auroc,error_detection_auprc,normalized_aurc,confidence_mean,confidence_std,confidence_min,confidence_max,actual_coverage_0_80,risk_masked_bce_0_80,macro_f1_0_80,micro_f1_0_80,actual_coverage_0_90,risk_masked_bce_0_90,macro_f1_0_90,micro_f1_0_90,actual_coverage_0_95,risk_masked_bce_0_95,macro_f1_0_95,micro_f1_0_95,actual_coverage_1_00,risk_masked_bce_1_00,macro_f1_1_00,micro_f1_1_00
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,mean_binary_certainty,65059,45690,0.7022856176701148,0.7398409601884521,0.8455488805111082,0.2924806751438015,0.5585290361959787,0.2212474529933366,0.017540671260924,0.9980724353757676,0.8000122965308413,0.3737810642309998,0.6138393561471046,0.7467952019005637,0.9000138335971964,0.3927000631963255,0.6009921886336468,0.7294068828319751,0.950014602130374,0.4022655027633949,0.5931422458339518,0.7215789519264911,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,p2_system_reliability,65059,45690,0.7022856176701148,0.4930744090749059,0.7015033977525897,0.410298343370799,0.9835620516388278,0.0152026342295329,0.8367984294891357,0.9995046854019164,0.8000122965308413,0.4103260173883554,0.5978167161004211,0.7208866109223407,0.9000138335971964,0.4111840375170621,0.5931666357508256,0.7180867597133157,0.950014602130374,0.4121701785670695,0.5904436066582378,0.716428630942633,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,grouped_risk_output_compact,65059,45690,0.7022856176701148,0.6988265280657491,0.8396789854777924,0.320310956894474,0.3871660791342007,0.0242660559220169,0.3274601314322239,0.4598158577399391,0.8000122965308413,0.3726092144235103,0.6094842361158228,0.7486003471627998,0.9000138335971964,0.3916632229622713,0.5990483445457395,0.7318581201068577,0.950014602130374,0.4019252826863298,0.5927059218958058,0.7237409109028431,1.0,0.4133124364561621,0.5864481220663477,0.715372390911304
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,grouped_risk_full_compact,65059,45690,0.7022856176701148,0.720470049813349,0.8490381350513947,0.3085342791774583,0.3866865243653659,0.0245418953799374,0.2989819780023814,0.4663980514518211,0.8000122965308413,0.3690222138472939,0.6119446910400967,0.7519614310376286,0.9000138335971964,0.3903808414757295,0.5985349480560955,0.7330135248057937,0.950014602130374,0.4018685436869414,0.5916781241105308,0.7242828313419666,1.0,0.413312436456162,0.5864481220663477,0.715372390911304
V3-3,P2,0,13,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_output_compact,0d73ab992cbe5fe6bf4e93419766623e57622e207cab8673bb9ca23ec6927615,extrasensory-p2-fold0-seed13-v2_seed13,grouped_risk_selected,65059,45690,0.7022856176701148,0.6988265280657491,0.8396789854777924,0.320310956894474,0.3871660791342007,0.0242660559220169,0.3274601314322239,0.4598158577399391,0.8000122965308413,0.3726092144235103,0.6094842361158228,0.7486003471627998,0.9000138335971964,0.3916632229622713,0.5990483445457395,0.7318581201068577,0.950014602130374,0.4019252826863298,0.5927059218958058,0.7237409109028431,1.0,0.4133124364561621,0.5864481220663477,0.715372390911304
V3-3,P2,0,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,7d8326c7084490bf1a1a9cb0a75ab3e5549a365050be18355173ff12f9c3d0e2,extrasensory-p2-fold0-seed29-v2_multiseed,mean_binary_certainty,65059,44877,0.6897892682027084,0.7275178311573739,0.8359365917974027,0.3201433357189147,0.5459100595034377,0.2144995544461007,0.0244148696101834,0.9986057416517996,0.8000122965308413,0.3967520747728496,0.6102210185765526,0.7497075337242086,0.9000138335971964,0.4135652692529754,0.5952796747505011,0.7330795158195148,0.950014602130374,0.4231760839781945,0.5865559747873451,0.7251532632451249,1.0,0.4334111127946805,0.5776016285911816,0.7181435090139885
V3-3,P2,0,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,7d8326c7084490bf1a1a9cb0a75ab3e5549a365050be18355173ff12f9c3d0e2,extrasensory-p2-fold0-seed29-v2_multiseed,p2_system_reliability,65059,44877,0.6897892682027084,0.4713903669357912,0.6715683343533394,0.4535347479229432,0.9834305643778812,0.0119163018948314,0.8518236875534058,0.9990755915641784,0.8000122965308413,0.4355677954757319,0.5819752843115832,0.718659136754215,0.9000138335971964,0.4345794372258859,0.5807993204938053,0.718948857300841,0.950014602130374,0.4348193717108646,0.5785616015491228,0.7182717225831193,1.0,0.4334111127946805,0.5776016285911816,0.7181435090139885
V3-3,P2,0,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,7d8326c7084490bf1a1a9cb0a75ab3e5549a365050be18355173ff12f9c3d0e2,extrasensory-p2-fold0-seed29-v2_multiseed,grouped_risk_output_compact,65059,44877,0.6897892682027084,0.7015712677888561,0.8312500971931265,0.3463877672619005,0.3859699037094606,0.0225856551285784,0.3181354954038213,0.4592195339261926,0.8000122965308413,0.3948413543328847,0.6086635260426834,0.7535564635312527,0.9000138335971964,0.4116366662753513,0.5966378408430001,0.7375558056417804,0.950014602130374,0.4210984214102706,0.5890913820850976,0.7285426515689731,1.0,0.4334111127946805,0.5776016285911816,0.7181435090139885
V3-3,P2,0,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,7d8326c7084490bf1a1a9cb0a75ab3e5549a365050be18355173ff12f9c3d0e2,extrasensory-p2-fold0-seed29-v2_multiseed,grouped_risk_full_compact,65059,44877,0.6897892682027084,0.7489030593486873,0.8571433303649179,0.3174406468516549,0.3822252571614527,0.0231359126630278,0.2883685470152713,0.4617736971157176,0.8000122965308413,0.3903722442714832,0.6070873862231021,0.753323226176364,0.9000138335971964,0.4097862788013784,0.5954736708710129,0.7366526694661067,0.950014602130374,0.420738318443581,0.5887991186565491,0.7276801668531657,1.0,0.4334111127946805,0.5776016285911816,0.7181435090139885
V3-3,P2,0,29,natural_missingness,efb672880ee0ff1680cafed70e33ce265ddcc65e24e6b7c44c7798d6500b08df,grouped_risk_full_compact,7d8326c7084490bf1a1a9cb0a75ab3e5549a365050be18355173ff12f9c3d0e2,extrasensory-p2-fold0-seed29-v2_multiseed,grouped_risk_selected,65059,44877,0.6897892682027084,0.7489030593486873,0.8571433303649179,0.3174406468516549,0.3822252571614527,0.0231359126630278,0.2883685470152713,0.4617736971157176,0.8000122965308413,0.3903722442714832,0.6070873862231021,0.753323226176364,0.9000138335971964,0.4097862788013784,0.5954736708710129,0.7366526694661067,0.950014602130374,0.420738318443581,0.5887991186565491,0.7276801668531657,1.0,0.4334111127946805,0.5776016285911816,0.7181435090139885
