fold,seed,selector,feature_count,selected_alpha,validation_oof_normalized_aurc,test_normalized_aurc,selected_family_for_unit,max_group_overlap_count
0,13,grouped_risk_full_compact,11,0.1,0.3785103066449887,0.3085342791774583,grouped_risk_output_compact,0
0,13,grouped_risk_output_compact,6,10.0,0.3732401223893406,0.320310956894474,grouped_risk_output_compact,0
0,29,grouped_risk_full_compact,11,1.0,0.3949346259155475,0.3174406468516549,grouped_risk_full_compact,0
0,29,grouped_risk_output_compact,6,1.0,0.3968540877782828,0.3463877672619005,grouped_risk_full_compact,0
0,47,grouped_risk_full_compact,11,0.1,0.3434439412721635,0.3039020843558297,grouped_risk_full_compact,0
0,47,grouped_risk_output_compact,6,0.1,0.34430989457749483,0.3129599624798129,grouped_risk_full_compact,0
1,13,grouped_risk_full_compact,11,0.1,0.41971386117199944,0.3685720127287137,grouped_risk_full_compact,0
1,13,grouped_risk_output_compact,6,10.0,0.4310163816998568,0.3714720577409444,grouped_risk_full_compact,0
1,29,grouped_risk_full_compact,11,1000.0,0.4254392105945874,0.3875045308571238,grouped_risk_full_compact,0
1,29,grouped_risk_output_compact,6,1.0,0.4422312303179093,0.3725052754667389,grouped_risk_full_compact,0
1,47,grouped_risk_full_compact,11,1000.0,0.4044946748046813,0.3268052214784611,grouped_risk_output_compact,0
1,47,grouped_risk_output_compact,6,1000.0,0.4013612016687348,0.3257037477156441,grouped_risk_output_compact,0
2,13,grouped_risk_full_compact,11,1000.0,0.32866441014760506,0.3643743081267778,grouped_risk_full_compact,0
2,13,grouped_risk_output_compact,6,0.1,0.33599818588767527,0.3826039095021922,grouped_risk_full_compact,0
2,29,grouped_risk_full_compact,11,1000.0,0.27954623008928836,0.3206577936344083,grouped_risk_full_compact,0
2,29,grouped_risk_output_compact,6,1000.0,0.2854497573139169,0.3344866746815847,grouped_risk_full_compact,0
2,47,grouped_risk_full_compact,11,1000.0,0.36745421249708865,0.3509473121342104,grouped_risk_full_compact,0
2,47,grouped_risk_output_compact,6,0.1,0.37735522727003995,0.3730307576047825,grouped_risk_full_compact,0
3,13,grouped_risk_full_compact,11,0.1,0.36989420447531873,0.325606948142922,grouped_risk_full_compact,0
3,13,grouped_risk_output_compact,6,0.1,0.3739952192601514,0.3271435742305238,grouped_risk_full_compact,0
3,29,grouped_risk_full_compact,11,1.0,0.38393683207043083,0.3262181185613927,grouped_risk_full_compact,0
3,29,grouped_risk_output_compact,6,0.1,0.38727596314729024,0.3308488905271906,grouped_risk_full_compact,0
3,47,grouped_risk_full_compact,11,100.0,0.354400250711705,0.3569940571775055,grouped_risk_output_compact,0
3,47,grouped_risk_output_compact,6,1.0,0.3543014286088239,0.3582189679125953,grouped_risk_output_compact,0
4,13,grouped_risk_full_compact,11,1000.0,0.2896249914603335,0.3415804755866726,grouped_risk_full_compact,0
4,13,grouped_risk_output_compact,6,1000.0,0.2922136011337486,0.3419748664047413,grouped_risk_full_compact,0
4,29,grouped_risk_full_compact,11,1000.0,0.29268268095660877,0.348140410699266,grouped_risk_full_compact,0
4,29,grouped_risk_output_compact,6,1000.0,0.2937906703132985,0.3475480230906524,grouped_risk_full_compact,0
4,47,grouped_risk_full_compact,11,1000.0,0.30181508614684593,0.3437922177583054,grouped_risk_output_compact,0
4,47,grouped_risk_output_compact,6,1000.0,0.29815609991488645,0.3419819874756901,grouped_risk_output_compact,0
