phase,model_id,fold,seed,run_id,scenario,policy_mode,confidence_source,selected_risk_family,threshold_source_split,test_rank_selection,validation_sample_count,validation_accepted_count,validation_achieved_coverage,validation_coverage_absolute_error,protocol_sha256,target_coverage,acceptance_threshold,test_sample_count,accepted_count,rejected_count,test_coverage,coverage_absolute_error,risk_masked_bce,macro_f1,micro_f1,accepted_error_prevalence,rejected_error_precision,rejected_error_recall
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3658126940966423,65059,52343,12716,0.8045466422785472,0.0045466422785471,0.3735881856132047,0.6088882728219487,0.7478251205951095,0.6542995242916914,0.8998112614029569,0.2504267892317793
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.3561977403972047,65059,59348,5711,0.9122181404571236,0.0122181404571235,0.3939105592699142,0.5975366274699222,0.7298538393419575,0.6817415919660309,0.915776571528629,0.1144670606259575
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_output_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3503181329981365,65059,62383,2676,0.9588681043360642,0.0088681043360642,0.4038260110110506,0.5917577952325804,0.7224122246404349,0.6926887132712438,0.9260089686098656,0.0542350623768877
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3576371474970152,65059,53217,11842,0.8179806022225979,0.0179806022225978,0.3770288981244218,0.6114681093327813,0.7437696116968023,0.6615555179735799,0.8853234250971119,0.2294594003064128
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.2691773538901321,65059,59937,5122,0.921271461288984,0.0212714612889838,0.3967337432524749,0.5973134757445522,0.7260966591485343,0.6862372157431971,0.8900819992190551,0.0997811337272926
V3-4,P2,0,13,extrasensory-p2-fold0-seed13-v2_seed13,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_output_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.2076976443832186,65059,62872,2187,0.96638435881277,0.01638435881277,0.4057662308617872,0.5903947304895933,0.7189824718693079,0.695985494337702,0.8834019204389575,0.042284963887065
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3654324078629867,65059,48891,16168,0.751487111698612,0.048512888301388,0.3806351722630746,0.6138617371825112,0.7619952244364685,0.6174347016833364,0.9085848589807026,0.3273391715132473
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,66854,0.9000026924423145,2.692442314433663e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.9,0.355200062240337,65059,56616,8443,0.8702254876343012,0.0297745123656988,0.4033833502668639,0.5995471308223054,0.7418940372186783,0.6555743959304791,0.9192230249911169,0.1729393676047864
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,risk_control,v3_3_grouped_risk_selected,grouped_risk_full_compact,val,False,74282,70568,0.9500013462211572,1.3462211572168314e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.95,0.3478868471309282,65059,60549,4510,0.9306783073825295,0.0193216926174703,0.4163124808535547,0.591880156899702,0.7311698393715137,0.6717534558787098,0.9319290465631928,0.0936559930476636
V3-4,P2,0,29,extrasensory-p2-fold0-seed29-v2_multiseed,natural_missingness,error_alert,mean_binary_certainty,grouped_risk_full_compact,val,False,74282,59426,0.8000053848846288,5.384884628756304e-06,eaef5b13b86b5d4ce6e444388792462bbcca3a68002c517f0bc7c241cc10bfbe,0.8,0.3464849550391762,65059,53594,11465,0.8237753423815306,0.0237753423815305,0.4007135791987866,0.6074861177725482,0.7453943658189435,0.6491958055006157,0.8795464457043175,0.224703077300176
