fold,seed,candidate_run_id,baseline_run_id,protocol_sha256,candidate_macro_f1,baseline_macro_f1,delta_macro_f1,candidate_micro_f1,baseline_micro_f1,delta_micro_f1,candidate_mean_average_precision,baseline_mean_average_precision,delta_mean_average_precision,candidate_brier_score,baseline_brier_score,delta_brier_score,candidate_masked_bce,baseline_masked_bce,delta_masked_bce,candidate_parameter_count,baseline_parameter_count,delta_parameter_count,relative_delta_parameter_count,candidate_latency_ms_per_sample,baseline_latency_ms_per_sample,delta_latency_ms_per_sample,relative_delta_latency_ms_per_sample
0,13,extrasensory-p2-lc-fold0-seed13-v4_final,extrasensory-p2-fold0-seed13-v2_seed13,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5864481220663477,0.5864481220663477,0.0,0.715372390911304,0.715372390911304,0.0,0.5906036667090488,0.5906036636713207,3.037728180110832e-09,0.1263349866150552,0.1263349867702612,-1.5520601470697668e-10,0.4133124364626173,0.413312436456162,6.4552807543805086e-12,136496.0,133724.0,2772.0,0.02072926325865221,0.0458507170413325,0.0296933598733496,0.0161573571679828,0.544140415126428
0,29,extrasensory-p2-lc-fold0-seed29-v4_final,extrasensory-p2-fold0-seed29-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5776016285911816,0.5776016285911816,0.0,0.7181435090139885,0.7181435090139885,0.0,0.5805966095474742,0.5805965874900815,2.2057392690122413e-08,0.1283296485014625,0.1283296485013761,8.634759574022156e-14,0.4334111127228329,0.4334111127946804,-7.184747241595346e-11,136496.0,133724.0,2772.0,0.02072926325865221,0.0301677907743228,0.0390797798921471,-0.0089119891178242,-0.2280460417745362
0,47,extrasensory-p2-lc-fold0-seed47-v4_final,extrasensory-p2-fold0-seed47-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5716197763884875,0.5716197763884875,0.0,0.7167951290389538,0.7167951290389538,0.0,0.5857275451510667,0.5857275313002581,1.3850808611159948e-08,0.1293784943411056,0.1293784943470562,-5.950656634112761e-12,0.4181073351904696,0.4181073355770862,-3.8661657209004814e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.0393104382172887,0.037481203215503,0.0018292350017857,0.0488040629663981
1,13,extrasensory-p2-lc-fold1-seed13-v4_final,extrasensory-p2-fold1-seed13-v2_seed13,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5955340123603474,0.5955340123603474,0.0,0.6842692412750847,0.6842692412750847,0.0,0.5897487499260632,0.5897487512974372,-1.371374014347282e-09,0.1341166754381818,0.1341166755189558,-8.077408186757394e-11,0.4434743185435246,0.4434743201797353,-1.6362106669554062e-09,136496.0,133724.0,2772.0,0.02072926325865221,0.0473392275381042,0.0273808042324449,0.0199584233056593,0.7289202733500975
1,29,extrasensory-p2-lc-fold1-seed29-v4_final,extrasensory-p2-fold1-seed29-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5897960850388606,0.5897960850388606,0.0,0.6703722119619264,0.6703722119619264,0.0,0.5834021813093102,0.5834021604223075,2.088700268298993e-08,0.1296165443768012,0.1296165443875777,-1.0776490810826544e-11,0.4418665971550871,0.4418665989971376,-1.8420505676353118e-09,136496.0,133724.0,2772.0,0.02072926325865221,0.0407334091706171,0.0351309832800463,0.0056024258905707,0.1594725045385467
1,47,extrasensory-p2-lc-fold1-seed47-v4_final,extrasensory-p2-fold1-seed47-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5900286318594605,0.5900286318594605,0.0,0.6948837546397196,0.6948837546397196,0.0,0.593848884060707,0.593848930867656,-4.6806948983402215e-08,0.1381664056794658,0.1381664057184017,-3.893591005166286e-11,0.4277175799316032,0.4277175798563684,7.523476286408479e-11,136496.0,133724.0,2772.0,0.02072926325865221,0.0469153388436361,0.0360196359819372,0.0108957028616989,0.3024934196215316
2,13,extrasensory-p2-lc-fold2-seed13-v4_final,extrasensory-p2-fold2-seed13-v2_seed13,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5790300439793512,0.5770586778765388,0.0019713661028124,0.7037523465809042,0.6988816342362144,0.0048707123446898,0.5564330008244934,0.5591826759450415,-0.002749675120548,0.1263414055896125,0.1274141002249704,-0.0010726946353579,0.4599140595913157,0.4643390512323676,-0.0044249916410518,136496.0,133724.0,2772.0,0.02072926325865221,0.0437939554967988,0.0287387028476986,0.0150552526491002,0.5238668122526584
2,29,extrasensory-p2-lc-fold2-seed29-v4_final,extrasensory-p2-fold2-seed29-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.583270819337504,0.5825977193345135,0.0006731000029904,0.7169260772248118,0.704627681801785,0.0122983954230267,0.5714182838623151,0.5785115453908846,-0.0070932615285694,0.1244436674158803,0.1261018568081856,-0.0016581893923052,0.4406577379923141,0.4423086046441317,-0.0016508666518175,136496.0,133724.0,2772.0,0.02072926325865221,0.0466230439475252,0.0348391283841077,0.0117839155634175,0.3382379557116841
2,47,extrasensory-p2-lc-fold2-seed47-v4_final,extrasensory-p2-fold2-seed47-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5793232321388508,0.5829432410903688,-0.0036200089515179,0.7087992330490218,0.710276853537573,-0.0014776204885511,0.5545658061365873,0.562213005438972,-0.0076471993023846,0.1277732984340867,0.1269968211733337,0.000776477260753,0.4623492581956161,0.4574452741192514,0.0049039840763647,136496.0,133724.0,2772.0,0.02072926325865221,0.0508847006048602,0.0338573625129981,0.017027338091862,0.5029138960639665
3,13,extrasensory-p2-lc-fold3-seed13-v4_final,extrasensory-p2-fold3-seed13-v2_seed13,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5462291450377689,0.5462291450377689,0.0,0.6957399211112716,0.6957399211112716,0.0,0.5517527261487747,0.5517527622627258,-3.6113951162874975e-08,0.1250408730258769,0.1250408730489774,-2.3100521495678088e-11,0.4228649441545139,0.4228649436786789,4.758350380384968e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.0485311938707522,0.0263423039533522,0.0221888899174,0.8423291279567964
3,29,extrasensory-p2-lc-fold3-seed29-v4_final,extrasensory-p2-fold3-seed29-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5224154615906669,0.5175101340642319,0.004905327526435,0.6775245284975661,0.6772116485465142,0.0003128799510518,0.5273796404731852,0.5249533495108035,0.0024262909623816,0.1287293140836951,0.130279548201166,-0.0015502341174708,0.4251301654894818,0.4258320735001711,-0.0007019080106893,136496.0,133724.0,2772.0,0.02072926325865221,0.0481575108784744,0.0362175435146747,0.0119399673637997,0.3296735837139761
3,47,extrasensory-p2-lc-fold3-seed47-v4_final,extrasensory-p2-fold3-seed47-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5465091951413192,0.5465091951413192,0.0,0.7210616321225802,0.7210616321225802,0.0,0.5482862903181905,0.5482863170183897,-2.670019916273248e-08,0.1314049930830354,0.1314049932622046,-1.7916912398163726e-10,0.4612080519762724,0.4612080525665025,-5.902301425386725e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.0437618495973997,0.0353531316543776,0.008408717943022,0.2378493092274831
4,13,extrasensory-p2-lc-fold4-seed13-v4_final,extrasensory-p2-fold4-seed13-v2_seed13,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.601285630296833,0.601285630296833,0.0,0.6988239583604617,0.6988239583604617,0.0,0.6095220897761263,0.6095222065159955,-1.167398692158983e-07,0.1417909436657078,0.1417909435950735,7.063430396136994e-11,0.4453039074150748,0.4453039070601362,3.5493868955072116e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.0323291903545304,0.0319586081159053,0.0003705822386251,0.0115956939451535
4,29,extrasensory-p2-lc-fold4-seed29-v4_final,extrasensory-p2-fold4-seed29-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.6045549722310235,0.6024232840375966,0.0021316881934269,0.6818578405266676,0.6845457843808327,-0.002687943854165,0.6166207373771999,0.6239318021296565,-0.0073110647524565,0.1444733886223184,0.1422622415703354,0.0022111470519829,0.4642629547813612,0.44783220093212,0.0164307538492411,136496.0,133724.0,2772.0,0.02072926325865221,0.0386384826506482,0.0380519839247239,0.0005864987259243,0.0154130919187971
4,47,extrasensory-p2-lc-fold4-seed47-v4_final,extrasensory-p2-fold4-seed47-v2_multiseed,1f64aabe1ade4c424a6728bcfb3f28dfa82ce114f7e98f18f3d47ebf734e6ba4,0.5976761634819686,0.5976761634819686,0.0,0.6998710940936614,0.6998710940936614,0.0,0.6078207661134767,0.6078208086442153,-4.253073859761258e-08,0.1417139229535751,0.1417139228558267,9.774839271337044e-11,0.4503193518058304,0.4503193512823913,5.23439125377223e-10,136496.0,133724.0,2772.0,0.02072926325865221,0.0487551774163085,0.0309838502253121,0.0177713271909963,0.5735674250218934
